Compound,Isomer,Breed,Parity,Feed_Type,Scenario,GOF_Passed,Exposure_Stop_Day,Total_Days,Milk_Conc_End_Exposure,t50_depuration_days,t90_depuration_days,t_below_reg_limit_days
PFDS,Linear,Saanen,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.004070184185897007,,,
PFDS,Linear,Saanen,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.004070184185897007,,,
PFDS,Linear,Saanen,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.00505051389818693,211.60769519612816,235.56221875889997,
PFDS,Linear,Saanen,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0020350920929485036,,,
PFDS,Linear,Saanen,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0020350920929485036,,,
PFDS,Linear,Saanen,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.002525256949093465,211.60769519612816,235.56221875889997,
PFDS,Linear,Saanen,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.004070184185897007,,,
PFDS,Linear,Saanen,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.004070184185897007,,,
PFDS,Linear,Saanen,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.00505051389818693,211.60769519612816,235.56221875889997,
PFDS,Linear,Saanen,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.003677480917313093,,,
PFDS,Linear,Saanen,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.003677480917313093,,,
PFDS,Linear,Saanen,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.004214282209384667,211.83549913144614,236.31397408706195,
PFDS,Linear,Saanen,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0018387404586565465,,,
PFDS,Linear,Saanen,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0018387404586565465,,,
PFDS,Linear,Saanen,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0021071411046923337,211.83549913144614,236.31397408706195,
PFDS,Linear,Saanen,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.003677480917313093,,,
PFDS,Linear,Saanen,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.003677480917313093,,,
PFDS,Linear,Saanen,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.004214282209384667,211.83549913144614,236.31397408706195,
PFDoDA,Branched,Alpine,primiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.021787161382957106,,,
PFDoDA,Branched,Alpine,primiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.021787161382957106,,,
PFDoDA,Branched,Alpine,primiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.027046635478483197,216.80421472425834,252.00421259166257,
PFDoDA,Branched,Alpine,primiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.004357432276591421,,,
PFDoDA,Branched,Alpine,primiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.004357432276591421,,,
PFDoDA,Branched,Alpine,primiparous,maize_silage,EXPO_DEP,0.0,200.0,300.0,0.005409327095696639,216.80421472425832,252.00421259166254,
PFDoDA,Branched,Alpine,primiparous,lucerne,EXPO_LOW,0.0,300.0,300.0,0.004357432276591421,,,
PFDoDA,Branched,Alpine,primiparous,lucerne,EXPO_HIGH,0.0,300.0,300.0,0.004357432276591421,,,
PFDoDA,Branched,Alpine,primiparous,lucerne,EXPO_DEP,0.0,200.0,300.0,0.005409327095696639,216.80421472425832,252.00421259166254,
PFDoDA,Branched,Alpine,multiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.02027939278819229,,,
PFDoDA,Branched,Alpine,multiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.02027939278819229,,,
PFDoDA,Branched,Alpine,multiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.023354767026649962,217.0063756436256,252.76032542688029,
PFDoDA,Branched,Alpine,multiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.004055878557638459,,,
PFDoDA,Branched,Alpine,multiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.004055878557638459,,,
PFDoDA,Branched,Alpine,multiparous,maize_silage,EXPO_DEP,0.0,200.0,300.0,0.004670953405329991,217.0063756436256,252.76032542688029,
PFDoDA,Branched,Alpine,multiparous,lucerne,EXPO_LOW,0.0,300.0,300.0,0.004055878557638459,,,
PFDoDA,Branched,Alpine,multiparous,lucerne,EXPO_HIGH,0.0,300.0,300.0,0.004055878557638459,,,
PFDoDA,Branched,Alpine,multiparous,lucerne,EXPO_DEP,0.0,200.0,300.0,0.004670953405329991,217.0063756436256,252.76032542688029,
PFDoDA,Branched,Saanen,primiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.021327189994836213,,,
PFDoDA,Branched,Saanen,primiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.021327189994836213,,,
PFDoDA,Branched,Saanen,primiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.026272391129691663,216.82004080787982,252.0603899780321,
