Matrix,Compound,Isomer,Mean_Partition_Coefficient
Kidney,PFUnDA,Branched,0.5513244581463619
Lung,PFUnDA,Branched,0.5256890715667312
Spleen,PFUnDA,Branched,0.2399668841690288
Heart,PFUnDA,Branched,0.288135593220339
Muscle,PFUnDA,Branched,0.08080306405512933
Brain,PFUnDA,Branched,0.7197548954260452
Liver,PFDoDA,Branched,4.4279265759441495
Kidney,PFDoDA,Branched,0.5513244581463619
Lung,PFDoDA,Branched,0.5256890715667312
Spleen,PFDoDA,Branched,0.2399668841690288
Heart,PFDoDA,Branched,0.288135593220339
Muscle,PFDoDA,Branched,0.08080306405512933
Brain,PFDoDA,Branched,0.7197548954260452
Liver,PFTrDA,Branched,4.4279265759441495
Kidney,PFTrDA,Branched,0.5513244581463619
Lung,PFTrDA,Branched,0.5256890715667312
Spleen,PFTrDA,Branched,0.2399668841690288
Heart,PFTrDA,Branched,0.288135593220339
Muscle,PFTrDA,Branched,0.08080306405512933
Brain,PFTrDA,Branched,0.7197548954260452
Liver,PFTeDA,Branched,4.4279265759441495
Kidney,PFTeDA,Branched,0.5513244581463619
Lung,PFTeDA,Branched,0.5256890715667312
Spleen,PFTeDA,Branched,0.2399668841690288
Heart,PFTeDA,Branched,0.288135593220339
Muscle,PFTeDA,Branched,0.08080306405512933
Brain,PFTeDA,Branched,0.7197548954260452
Liver,PFHxS,Branched,4.4279265759441495
Kidney,PFHxS,Branched,0.5513244581463619
Lung,PFHxS,Branched,0.5256890715667312
Spleen,PFHxS,Branched,0.2399668841690288
Heart,PFHxS,Branched,0.288135593220339
Muscle,PFHxS,Branched,0.08080306405512933
Brain,PFHxS,Branched,0.7197548954260452
Liver,Sum,Linear,4.4279265759441495
Kidney,Sum,Linear,0.5513244581463619
Lung,Sum,Linear,0.5256890715667312
Spleen,Sum,Linear,0.2399668841690288
Heart,Sum,Linear,0.288135593220339
Muscle,Sum,Linear,0.08080306405512933
Brain,Sum,Linear,0.7197548954260452
Liver,Sum linear,Linear,4.4279265759441495
Kidney,Sum linear,Linear,0.5513244581463619
Lung,Sum linear,Linear,0.5256890715667312
Spleen,Sum linear,Linear,0.2399668841690288
Heart,Sum linear,Linear,0.288135593220339
Muscle,Sum linear,Linear,0.08080306405512933
Brain,Sum linear,Linear,0.7197548954260452
Liver,Sum branched,Linear,4.4279265759441495
Kidney,Sum branched,Linear,0.5513244581463619
Lung,Sum branched,Linear,0.5256890715667312
Spleen,Sum branched,Linear,0.2399668841690288
Heart,Sum branched,Linear,0.288135593220339
Muscle,Sum branched,Linear,0.08080306405512933
Brain,Sum branched,Linear,0.7197548954260452
Liver,Sum EFSA-4,Linear,4.4279265759441495
Kidney,Sum EFSA-4,Linear,0.5513244581463619
Lung,Sum EFSA-4,Linear,0.5256890715667312
Spleen,Sum EFSA-4,Linear,0.2399668841690288
Heart,Sum EFSA-4,Linear,0.288135593220339
Muscle,Sum EFSA-4,Linear,0.08080306405512933
