Animal,Compound,Isomer,total_intake,auc_milk_amount,auc_urine_amount,auc_feces_amount,total_body_burden,total_eliminated,mass_balance,unaccounted,transfer_rate_milk,transfer_rate_urine,transfer_rate_feces
E4,PFNA,Branched,12.09024787014322,0.02218304047070925,0.0,0.0,0.0,0.02218304047070925,0.001834787897565782,12.06806482967251,0.001834787897565782,0.0,0.0
E2,PFNA,Linear,27.420411731864945,0.4490210279872937,0.0,0.0,0.0,0.4490210279872937,0.016375429821336034,26.971390703877653,0.016375429821336034,0.0,0.0
E3,PFNA,Linear,26.867950665167744,0.2554033152971223,0.0,0.0,0.0,0.2554033152971223,0.009505872572121151,26.61254734987062,0.009505872572121151,0.0,0.0
E4,PFNA,Linear,25.164786427815546,0.38741452032320456,0.0,0.0,0.0,0.38741452032320456,0.015395104640943081,24.77737190749234,0.015395104640943081,0.0,0.0
E2,PFNA,Total,,,0.0,0.0,0.0,,,,,,
E3,PFNA,Total,,,0.0,0.0,0.0,,,,,,
E4,PFNA,Total,,,0.0,0.0,0.0,,,,,,
E2,PFNS,Branched,18009.259341188408,1886.9479915433708,56.712400955499206,5253.223083022658,250.330084,7196.883475521528,0.41352136800480416,10562.045781666879,0.10477654609747285,0.0031490690361593086,0.2916956762907055
E3,PFNS,Branched,17757.451780462656,1009.4352159632523,34.47336734616421,3321.750448209259,188.56776559999997,4365.659031518676,0.2564684873383347,13203.22498334398,0.05684572473815566,0.0019413465272136042,0.18706233806947234
E4,PFNS,Branched,16597.004908374944,1642.1038781107331,19.440028385958808,3075.1795001188075,141.9987618,4736.7234066155,0.29395196273959456,11718.282739959444,0.09893977179473618,0.0011712973812611973,0.18528520760797354
E2,PFNS,Linear,8674.863069727322,817.1675000354794,0.0,3995.110151299089,65.48101100000001,4812.277651334569,0.5622865309951102,3797.1044073927533,0.09419946960167586,0.0,0.46053869890359755
E3,PFNS,Linear,8582.113141995713,473.11317162914304,0.0,2919.6697160875956,37.37398112299999,3392.7828877167385,0.39968674522066233,5151.9562731559745,0.05512781803283518,0.0,0.3402040578794614
E4,PFNS,Linear,8028.724735400284,748.843090305816,0.0,2534.1156910300588,28.01212848,3282.958781335875,0.4123906372349682,4717.753825584409,0.09327049001991737,0.0,0.31563115868907876
E2,PFNS,Total,,,70.890501194374,9237.96277479713,315.915247,,,,,,
E3,PFNS,Total,,,34.47336734616421,6238.268796397574,225.8099589,,,,,,
E4,PFNS,Total,,,36.889397865195434,5613.168205601758,170.393139,,,,,,
E2,PFOA,Branched,631.3812403480919,0.4055593997643977,207.56738749712704,0.0,0.0,207.97294689689144,0.32939361134998596,423.4082934512004,0.0006423367909075118,0.32875127455907843,0.0
E3,PFOA,Branched,614.3934970435067,0.37082074122144293,149.80746513949117,0.0,0.0,150.17828588071262,0.24443339098375602,464.2152111627941,0.0006035557716770303,0.24382983521207896,0.0
E4,PFOA,Branched,575.7471838655744,0.30376994682465097,169.20600707138547,0.0,0.0,169.50977701821012,0.29441703193425833,406.23740684736424,0.0005276099568305927,0.2938894219774278,0.0
E2,PFOA,Linear,3309.7010818825315,3.7948672610492316,937.6450291309201,32.343535794448115,2.1056,973.7834321864175,0.2948571511573908,2333.812049696114,0.0011465891230548052,0.28330202816914063,0.009772343481862528
E3,PFOA,Linear,3233.228361437373,3.2716786800865263,736.9027003916062,17.170068185520478,0.6881312,757.3444472572132,0.23445067706885392,2475.19578298016,0.0010118922372164456,0.2279154510645226,0.0053105027749686395
E4,PFOA,Linear,3030.7279469095106,2.9209832310994552,917.5693398172557,9.78984792681478,0.03024,930.2801709751699,0.30695939301441577,2100.417535934341,0.0009637893213338518,0.3027554290225614,0.0032301968696324818
E2,PFOA,Total,,,1141.809672570717,32.343535794448115,2.1056,,,,,,
E3,PFOA,Total,,,888.03394283719,17.170068185520478,0.6881312,,,,,,
E4,PFOA,Total,,,1093.3071964263233,9.78984792681478,0.03024,,,,,,
E2,PFOS,Branched,1146.4970216918923,227.43652455231202,110.02205785366843,300.2585042748707,58.05269859999999,637.7170866808511,0.6068657590179342,450.7272364110412,0.19837515514578713,0.09596366651812863,0.26189209269098446
E3,PFOS,Branched,1118.4391353420795,120.89643626864543,75.42772775340728,217.9013730190129,39.558923692,414.22553704106565,0.4057301344290619,664.6546746090138,0.10809388946468575,0.06744017208440885,0.1948263129690708
E4,PFOS,Branched,1047.9506254292135,197.64422937578075,59.34651865665504,162.7614932398717,31.54934664,419.7522412723075,0.4306515755238622,596.649037516906,0.1886007074950032,0.0566310255622475,0.1553140856929293
E2,PFOS,Linear,7752.598084228968,1264.7274940550044,196.79203131558222,3569.5192633281968,252.36725199999998,5031.038788698783,0.6815013474575398,2469.1920435301854,0.16313595523903487,0.02538401051847564,0.46042877813950317
