Animal,Compound,Isomer,max_day,frac,rmse_all_days,rmse_nonzero_days
E4,PFDA,Linear,140,0.4,0.47326005808866517,0.7151117637776353
E4,PFDA,Linear,140,0.5,0.5187448367518143,0.8050914341966439
E4,PFDA,Linear,140,0.6,0.5887600263494347,0.9165190325600969
E4,PFDA,Linear,140,0.6666666666666666,0.633211956669253,0.9869506223108051
E4,PFDA,Linear,140,0.7,0.635678520879811,0.99005110111814
E4,PFDA,Linear,140,0.8,0.6381478584784781,0.9933035974175526
E4,PFDA,Linear,140,0.9,0.6338171378812667,0.9839961136394401
E4,PFDS,Branched,140,0.2,0.0,0.0
E4,PFDS,Branched,140,0.3,61.58341936494536,97.71787346891946
E4,PFDS,Branched,140,0.4,63.53893922304819,95.48862614328114
E4,PFDS,Branched,140,0.5,71.52586828303915,109.26922009695622
E4,PFDS,Branched,140,0.6,81.43545714935541,125.11991047247588
E4,PFDS,Branched,140,0.6666666666666666,84.48478701533213,129.67037917138796
E4,PFDS,Branched,140,0.7,84.73921244438507,129.80722184661505
E4,PFDS,Branched,140,0.8,84.29626006539334,128.21016654562604
E4,PFDS,Branched,140,0.9,83.4744130765897,125.54068746324577
E4,PFDS,Linear,140,0.2,0.0,0.0
E4,PFDS,Linear,140,0.3,64.38812007564775,102.1691315917565
E4,PFDS,Linear,140,0.4,68.60209131895806,103.79696908596794
E4,PFDS,Linear,140,0.5,75.66710097020257,114.30966177814106
E4,PFDS,Linear,140,0.6,87.77650869560948,133.53902369850354
E4,PFDS,Linear,140,0.6666666666666666,89.78859056708426,136.08483797315765
E4,PFDS,Linear,140,0.7,89.97980275017444,136.23349778546913
E4,PFDS,Linear,140,0.8,89.35725748659418,133.68911584864307
E4,PFDS,Linear,140,0.9,88.97226579840546,130.10515125066496
E4,PFDoDA,Branched,140,0.2,0.0,0.0
E4,PFDoDA,Branched,140,0.3,1.1531027698329552,1.829715462311876
E4,PFDoDA,Branched,140,0.4,0.5230157846142173,0.783629045322923
E4,PFDoDA,Branched,140,0.5,0.5647567740511742,0.8470521562221136
E4,PFDoDA,Branched,140,0.6,0.6615455879698827,1.001789532318831
E4,PFDoDA,Branched,140,0.6666666666666666,0.6746468766064314,1.0184220396772397
E4,PFDoDA,Branched,140,0.7,0.6748892945416706,1.0154065220291273
E4,PFDoDA,Branched,140,0.8,0.6716637240010426,0.9955974016718282
E4,PFDoDA,Branched,140,0.9,0.6708062609729093,0.9738969397618917
E4,PFDoDA,Linear,140,0.2,0.0,0.0
E4,PFDoDA,Linear,140,0.3,0.2298100643062424,0.3646570268529629
E4,PFDoDA,Linear,140,0.4,0.26282122460198853,0.39581362318365826
E4,PFDoDA,Linear,140,0.5,0.2829303944344613,0.4201757060787129
E4,PFDoDA,Linear,140,0.6,0.319628955682573,0.4791759049675149
E4,PFDoDA,Linear,140,0.6666666666666666,0.33003484531189287,0.4937581615968786
E4,PFDoDA,Linear,140,0.7,0.330674074655874,0.49288515020764356
E4,PFDoDA,Linear,140,0.8,0.3313011441137226,0.48711781027594403
E4,PFDoDA,Linear,140,0.9,0.3321366717299486,0.4793750632815684
E4,PFDoDS,Branched,140,0.2,0.0,0.0
E4,PFDoDS,Branched,140,0.3,55.048562336446984,87.34972139528165
E4,PFDoDS,Branched,140,0.4,24.395414880890062,36.22947568184649
E4,PFDoDS,Branched,140,0.5,25.9041077905621,38.344670423337135
E4,PFDoDS,Branched,140,0.6,29.14683374611987,43.60599749786848
E4,PFDoDS,Branched,140,0.6666666666666666,30.19769178808717,45.14743132757503
E4,PFDoDS,Branched,140,0.7,30.294070404823877,45.17811229852471
E4,PFDoDS,Branched,140,0.8,30.355177439489207,44.75395293562128
E4,PFDoDS,Branched,140,0.9,30.405632650796193,44.040522210346374
E4,PFDoDS,Linear,140,0.2,0.0,0.0
E4,PFDoDS,Linear,140,0.3,5.686629283977295,8.387453730424282
E4,PFDoDS,Linear,140,0.4,7.228994340708373,10.742137130450498
E4,PFDoDS,Linear,140,0.5,7.595435201379554,11.249787590409587
E4,PFDoDS,Linear,140,0.6,8.253781041098714,12.311115196008762
E4,PFDoDS,Linear,140,0.6666666666666666,8.485883306608171,12.624590638997413
E4,PFDoDS,Linear,140,0.7,8.53230801505193,12.677834384714636
E4,PFDoDS,Linear,140,0.8,8.528163741184494,12.597709767236577
E4,PFDoDS,Linear,140,0.9,8.498049737473975,12.420626427350376
E4,PFHpA,Branched,140,0.2,0.0,0.0
E4,PFHpA,Branched,140,0.3,0.2697983834783418,0.4280287810903222
E4,PFHpA,Branched,140,0.4,0.21712469665193293,0.3384538748541221
E4,PFHpA,Branched,140,0.5,0.2366845541847669,0.3684397241484236
E4,PFHpA,Branched,140,0.6,0.2735522800351764,0.42673923102145894
E4,PFHpA,Branched,140,0.6666666666666666,0.2898410601575763,0.4521459411973224
E4,PFHpA,Branched,140,0.7,0.29060874256431113,0.4529951849602266
E4,PFHpA,Branched,140,0.8,0.29021410935889247,0.45200440748952175
E4,PFHpA,Branched,140,0.9,0.28734164979827825,0.44604507353628364
E4,PFHpA,Linear,140,0.2,0.0,0.0
E4,PFHpA,Linear,140,0.3,1.2175501479117459,1.9240736345294276
E4,PFHpA,Linear,140,0.4,1.2420821060933227,1.9128725504865134
E4,PFHpA,Linear,140,0.5,1.3593067540127892,2.100671031407659
E4,PFHpA,Linear,140,0.6,1.5698554295418625,2.4346604847951077
E4,PFHpA,Linear,140,0.6666666666666666,1.6311136688248777,2.5287073542392347
E4,PFHpA,Linear,140,0.7,1.6344139905998025,2.530858434791684
E4,PFHpA,Linear,140,0.8,1.622195318044212,2.501598437112494
E4,PFHpA,Linear,140,0.9,1.604113525775348,2.461270839515399
E4,PFHpS,Branched,140,0.2,0.0,
E4,PFHpS,Branched,140,0.3,0.0,
E4,PFHpS,Branched,140,0.4,0.0,
E4,PFHpS,Branched,140,0.5,0.0,
E4,PFHpS,Branched,140,0.6,0.0,
E4,PFHpS,Branched,140,0.6666666666666666,0.0,
E4,PFHpS,Branched,140,0.7,0.0,
E4,PFHpS,Branched,140,0.8,0.0,
E4,PFHpS,Branched,140,0.9,0.0,
E4,PFHpS,Linear,140,0.2,0.0,0.0
E4,PFHpS,Linear,140,0.3,0.15660773316516627,0.24847216893662197
E4,PFHpS,Linear,140,0.4,0.15868919052754576,0.23969804432859632
E4,PFHpS,Linear,140,0.5,0.17518804689340536,0.2684534096835207
E4,PFHpS,Linear,140,0.6,0.20317591698316573,0.31229507661584993
E4,PFHpS,Linear,140,0.6666666666666666,0.2097328267844451,0.322069641042853
E4,PFHpS,Linear,140,0.7,0.21007635413519812,0.32212676470665336
E4,PFHpS,Linear,140,0.8,0.2083760803727772,0.317207133948254
E4,PFHpS,Linear,140,0.9,0.20587529693781664,0.30982550602958686
E4,PFHxA,Branched,140,0.2,0.0,
E4,PFHxA,Branched,140,0.3,0.0,
E4,PFHxA,Branched,140,0.4,0.0,
E4,PFHxA,Branched,140,0.5,0.0,
E4,PFHxA,Branched,140,0.6,0.0,
E4,PFHxA,Branched,140,0.6666666666666666,0.0,
E4,PFHxA,Branched,140,0.7,0.0,
E4,PFHxA,Branched,140,0.8,0.0,
E4,PFHxA,Branched,140,0.9,0.0,
E4,PFHxA,Linear,140,0.2,0.0,0.0
E4,PFHxA,Linear,140,0.3,6.023288517012587,9.554865253182175
E4,PFHxA,Linear,140,0.4,4.952223043286495,7.59842392311407
E4,PFHxA,Linear,140,0.5,5.401450479432152,8.361005512169799
E4,PFHxA,Linear,140,0.6,6.303701468594802,9.814920411074521
E4,PFHxA,Linear,140,0.6666666666666666,6.6006490448385495,10.267291026838906
E4,PFHxA,Linear,140,0.7,6.622278958394437,10.295788743821028
E4,PFHxA,Linear,140,0.8,6.58919144525025,10.22051202552243
E4,PFHxA,Linear,140,0.9,6.515630054738704,10.059743870146447
E4,PFHxS,Branched,140,0.2,0.0,0.0
E4,PFHxS,Branched,140,0.3,0.10762970416817988,0.1698821480385394
E4,PFHxS,Branched,140,0.4,0.1133578483454254,0.1749239602750268
E4,PFHxS,Branched,140,0.5,0.12693706838747437,0.1952713660891784
E4,PFHxS,Branched,140,0.6,0.14778831120859443,0.2277814687528956
E4,PFHxS,Branched,140,0.6666666666666666,0.15238891441837224,0.23451564995902993
E4,PFHxS,Branched,140,0.7,0.15274583890318183,0.23479285614991868
E4,PFHxS,Branched,140,0.8,0.15164213557589779,0.23171721678984186
E4,PFHxS,Branched,140,0.9,0.14962674687436897,0.2261935631637248
E4,PFHxS,Linear,140,0.2,0.0,0.0
E4,PFHxS,Linear,140,0.3,0.5304616534474118,0.8414444796004615
E4,PFHxS,Linear,140,0.4,0.45303596081834235,0.6947228744993379
E4,PFHxS,Linear,140,0.5,0.49073853061257694,0.7578913713309189
E4,PFHxS,Linear,140,0.6,0.5732181987226544,0.8899281624011897
E4,PFHxS,Linear,140,0.6666666666666666,0.5938448382100213,0.9208523962932683
E4,PFHxS,Linear,140,0.7,0.5952052830139599,0.9221644974312009
E4,PFHxS,Linear,140,0.8,0.5907963670134833,0.9115522061438305
E4,PFHxS,Linear,140,0.9,0.5841971142882705,0.8967250084590398
E4,PFNA,Branched,140,0.2,0.0,0.0
E4,PFNA,Branched,140,0.3,0.07052345934127016,0.1118991030865811
E4,PFNA,Branched,140,0.4,0.07922647299794537,0.12192657481269982
E4,PFNA,Branched,140,0.5,0.08798789976000812,0.13553515336938
E4,PFNA,Branched,140,0.6,0.10098246813983248,0.15580958059769032
E4,PFNA,Branched,140,0.6666666666666666,0.10399858047543721,0.16034488034459474
E4,PFNA,Branched,140,0.7,0.10424738440869606,0.16060314832038639
E4,PFNA,Branched,140,0.8,0.10355531788826206,0.15885095134533878
E4,PFNA,Branched,140,0.9,0.10227262085682483,0.15562843827335907
E4,PFNA,Linear,140,0.2,0.0,0.0
E4,PFNA,Linear,140,0.3,0.19771291758527557,0.31365047308261895
E4,PFNA,Linear,140,0.4,0.17057024502978677,0.2609458266926634
E4,PFNA,Linear,140,0.5,0.18514616101457013,0.28568700647669
E4,PFNA,Linear,140,0.6,0.21636493836912002,0.33528856567967175
E4,PFNA,Linear,140,0.6666666666666666,0.22512786669544163,0.34865233382050215
E4,PFNA,Linear,140,0.7,0.2256408151433449,0.34922105850395074
E4,PFNA,Linear,140,0.8,0.22387834461005265,0.34486805500653095
E4,PFNA,Linear,140,0.9,0.22122417317490553,0.3387161146570332
E4,PFNS,Branched,140,0.2,0.0,0.0
E4,PFNS,Branched,140,0.3,111.10685487109976,164.59496043579296
E4,PFNS,Branched,140,0.4,117.0884777293531,176.8382128550808
E4,PFNS,Branched,140,0.5,127.78059023296717,196.30577417573966
E4,PFNS,Branched,140,0.6,147.33245767887487,228.3523432690465
E4,PFNS,Branched,140,0.6666666666666666,155.69169649655205,241.3407597562187
E4,PFNS,Branched,140,0.7,155.9683729119315,241.28904462053384
E4,PFNS,Branched,140,0.8,155.89035558096603,240.29600112597038
E4,PFNS,Branched,140,0.9,155.10333735973666,238.55597518376
E4,PFNS,Linear,140,0.2,0.0,0.0
E4,PFNS,Linear,140,0.3,53.04554117295985,77.05966025679703
E4,PFNS,Linear,140,0.4,55.630875172736275,84.10912924176311
E4,PFNS,Linear,140,0.5,62.024102065327554,95.2952777380615
E4,PFNS,Linear,140,0.6,71.32844856516986,110.57443671692067
E4,PFNS,Linear,140,0.6666666666666666,75.00254994025298,116.19070492286968
E4,PFNS,Linear,140,0.7,75.15578669644819,116.22348001889252
E4,PFNS,Linear,140,0.8,75.15466198155431,115.87650133003247
E4,PFNS,Linear,140,0.9,74.61080510988477,114.64915162950825
E4,PFOA,Branched,140,0.2,0.0,0.0
E4,PFOA,Branched,140,0.3,4.707984618760659,7.445688175102225
E4,PFOA,Branched,140,0.4,4.780127510839259,7.536176673395888
E4,PFOA,Branched,140,0.5,4.979472704676509,7.757460860178737
E4,PFOA,Branched,140,0.6,5.522445571427955,8.631152161338436
E4,PFOA,Branched,140,0.6666666666666666,5.967641409788206,9.35602137004847
E4,PFOA,Branched,140,0.7,5.996798314656751,9.401609712828066
E4,PFOA,Branched,140,0.8,5.954758428969735,9.313324763192437
E4,PFOA,Branched,140,0.9,5.901367398771153,9.205851222648153
E4,PFOA,Linear,140,0.2,0.0,0.0
E4,PFOA,Linear,140,0.3,28.513682210340612,45.236542350024614
E4,PFOA,Linear,140,0.4,23.420205358910575,36.16103489960122
E4,PFOA,Linear,140,0.5,24.97596103759006,38.86388243054756
E4,PFOA,Linear,140,0.6,28.481815261681106,44.49785985011009
E4,PFOA,Linear,140,0.6666666666666666,30.131494907778027,47.090833035364355
E4,PFOA,Linear,140,0.7,30.269187338658206,47.30002743336311
E4,PFOA,Linear,140,0.8,30.117915841463724,46.96241817352276
E4,PFOA,Linear,140,0.9,29.84147256905129,46.39223918259219
E4,PFOS,Branched,140,0.2,0.0,0.0
E4,PFOS,Branched,140,0.3,5.957787691126488,9.404764295925734
E4,PFOS,Branched,140,0.4,6.432916843354376,9.765503908639616
E4,PFOS,Branched,140,0.5,7.2781298797111305,11.154913145763292
E4,PFOS,Branched,140,0.6,8.380982793519763,12.860166624418735
